id,sku,name,category_id,brand,price,tax_percent,status,visibility,product_type,created_at
1,GIL-00001,Classic Black Leather Biker Jacket,10,,32.49,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
2,GIL-00002,Vintage Blue Straight-Leg Denim Jeans,5,,470.24,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
3,GIL-00003,Premium Heavyweight Cotton Crewneck T-Shirt,4,,455.56,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
4,GIL-00004,Soft Merino Wool Winter Knit Sweater,5,,354.79,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
5,GIL-00005,Luxury Cashmere Fringe-Trimmed Scarf,7,,489.84,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
6,GIL-00006,Elegant Silk Long-Sleeve Blouse,10,,79.93,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
7,GIL-00007,Handcrafted Genuine Leather Chelsea Boots,9,,371.13,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
8,GIL-00008,Lightweight Performance Running Shoes,4,,20.28,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
9,GIL-00009,Pointed-Toe High Heel Stiletto Pumps,9,,338.1,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
10,GIL-00010,Smooth Leather Ankle Zip-Up Boots,1,,316.1,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
11,GIL-00011,Casual Summer Light-Wash Denim Shorts,7,,245.44,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
12,GIL-00012,Slim-Fit Stretch Chino Pants,7,,115.77,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
13,GIL-00013,Breathable Cotton Polo Collar Shirt,4,,246.42,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
14,GIL-00014,Oversized Fleece-Lined Hoodie Sweatshirt,3,,124.17,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
15,GIL-00015,Padded Bomber Jacket with Ribbed Cuffs,5,,390.55,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
16,GIL-00016,Ultra-Warm Down Puffer Winter Coat,10,,495.26,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
17,GIL-00017,Classic Double-Breasted Trench Coat,2,,411.24,10,Enabled,"Catalog, Search",simple,2024-01-01 00:00:00
