id,product_id,warehouse_id,warehouse_name,stock_status,stock_quantity
1,1,1,Main Warehouse,In Stock,723
2,1,3,West Coast Distribution Center,Out of Stock,0
3,2,2,East Coast Distribution Center,Low Stock,10
4,2,3,West Coast Distribution Center,Low Stock,2
5,3,3,West Coast Distribution Center,In Stock,948
6,3,2,East Coast Distribution Center,Low Stock,3
7,3,1,Main Warehouse,In Stock,941
8,4,2,East Coast Distribution Center,Out of Stock,0
9,5,2,East Coast Distribution Center,Low Stock,10
10,5,3,West Coast Distribution Center,Out of Stock,0
11,6,3,West Coast Distribution Center,Low Stock,3
12,6,2,East Coast Distribution Center,Low Stock,7
13,6,1,Main Warehouse,Out of Stock,0
14,7,2,East Coast Distribution Center,Out of Stock,0
15,7,1,Main Warehouse,Low Stock,5
16,8,1,Main Warehouse,Low Stock,8
17,8,3,West Coast Distribution Center,In Stock,300
18,8,2,East Coast Distribution Center,In Stock,635
19,9,3,West Coast Distribution Center,Low Stock,3
20,9,2,East Coast Distribution Center,Low Stock,8
21,10,2,East Coast Distribution Center,Out of Stock,0
22,10,3,West Coast Distribution Center,Out of Stock,0
23,11,3,West Coast Distribution Center,In Stock,267
24,12,1,Main Warehouse,Out of Stock,0
25,12,3,West Coast Distribution Center,Low Stock,4
26,12,2,East Coast Distribution Center,Out of Stock,0
27,13,2,East Coast Distribution Center,Out of Stock,0
28,13,1,Main Warehouse,In Stock,833
29,14,2,East Coast Distribution Center,Low Stock,1
30,15,2,East Coast Distribution Center,Out of Stock,0
31,16,2,East Coast Distribution Center,Low Stock,2
32,16,3,West Coast Distribution Center,Out of Stock,0
33,16,1,Main Warehouse,Out of Stock,0
34,17,1,Main Warehouse,Low Stock,5
35,18,1,Main Warehouse,Out of Stock,0
36,18,3,West Coast Distribution Center,Out of Stock,0
37,18,2,East Coast Distribution Center,Low Stock,6
38,19,2,East Coast Distribution Center,Out of Stock,0
39,19,3,West Coast Distribution Center,In Stock,923
40,20,2,East Coast Distribution Center,Out of Stock,0
41,20,1,Main Warehouse,Out of Stock,0
42,21,2,East Coast Distribution Center,Low Stock,8
43,22,1,Main Warehouse,Low Stock,10
44,22,2,East Coast Distribution Center,In Stock,718
45,23,3,West Coast Distribution Center,Out of Stock,0
46,24,2,East Coast Distribution Center,Out of Stock,0
47,25,1,Main Warehouse,In Stock,56
48,25,3,West Coast Distribution Center,Out of Stock,0
49,25,2,East Coast Distribution Center,In Stock,572
50,26,2,East Coast Distribution Center,In Stock,996
51,26,1,Main Warehouse,Low Stock,3
52,27,2,East Coast Distribution Center,Low Stock,5
53,28,2,East Coast Distribution Center,In Stock,434
54,28,1,Main Warehouse,Low Stock,6
55,29,2,East Coast Distribution Center,Low Stock,8
56,29,1,Main Warehouse,Low Stock,10
57,30,2,East Coast Distribution Center,Low Stock,5
58,30,3,West Coast Distribution Center,Low Stock,6
59,30,1,Main Warehouse,In Stock,637
60,31,2,East Coast Distribution Center,Out of Stock,0
61,32,1,Main Warehouse,In Stock,255
62,32,2,East Coast Distribution Center,Low Stock,1
63,32,3,West Coast Distribution Center,Low Stock,1
