sku,name,brand,price,visibility,status,type,parent_sku
GIL-00001,Classic Black Leather Biker Jacket,,157.52,1,1,simple,
GIL-00002,Vintage Blue Straight-Leg Denim Jeans,,222.26,1,1,simple,
GIL-00003,Premium Heavyweight Cotton Crewneck T-Shirt,,244.62,1,1,simple,
GIL-00004,Soft Merino Wool Winter Knit Sweater,,11.36,1,1,simple,
GIL-00005,Luxury Cashmere Fringe-Trimmed Scarf,,42.82,1,1,simple,
GIL-00006,Elegant Silk Long-Sleeve Blouse,,337.65,1,1,simple,
GIL-00007,Handcrafted Genuine Leather Chelsea Boots,,388.49,1,1,simple,
GIL-00008,Lightweight Performance Running Shoes,,266.87,1,1,simple,
GIL-00009,Pointed-Toe High Heel Stiletto Pumps,,484.36,1,1,simple,
GIL-00010,Smooth Leather Ankle Zip-Up Boots,,376.41,1,1,simple,
GIL-00011,Casual Summer Light-Wash Denim Shorts,,218.28,1,1,simple,
GIL-00012,Slim-Fit Stretch Chino Pants,,413.71,1,1,simple,
GIL-00013,Breathable Cotton Polo Collar Shirt,,171.51,1,1,simple,
GIL-00014,Oversized Fleece-Lined Hoodie Sweatshirt,,216.14,1,1,simple,
GIL-00015,Padded Bomber Jacket with Ribbed Cuffs,,155.52,1,1,simple,
GIL-00016,Ultra-Warm Down Puffer Winter Coat,,83.07,1,1,simple,
GIL-00017,Classic Double-Breasted Trench Coat,,405.56,1,1,simple,
GIL-00018,Full-Grain Leather Touchscreen Gloves,,438.3,1,1,simple,
GIL-00019,Knitted Wool Ribbed Winter Beanie,,342.68,1,1,simple,
GIL-00020,Curved-Brim Adjustable Baseball Cap,,474.2,1,1,simple,
GIL-00021,Full-Grain Leather Silver-Buckle Belt,,328.18,1,1,simple,
GIL-00022,Canvas Commuter Backpack with Laptop Slot,,31.66,1,1,simple,
GIL-00023,Messenger Shoulder Bag with Magnetic Flap,,281.62,1,1,simple,
GIL-00024,Evening Satin Clutch Purse,,61.39,1,1,simple,
GIL-00025,Compact Crossbody Bag with Zipper Pocket,,458.76,1,1,simple,
GIL-00026,Polarized UV-Protective Sunglasses,,78.76,1,1,simple,
GIL-00027,Stainless-Steel Minimalist Wristwatch,,330.08,1,1,simple,
GIL-00028,Gold-Plated Chain Link Bracelet,,64.95,1,1,simple,
GIL-00029,Sterling Silver Pendant Necklace,,52.04,1,1,simple,
GIL-00030,Minimalist Stainless Steel Ring,,282.85,1,1,simple,
GIL-00031,Premium Crystal Stud Earrings,,419.28,1,1,simple,
GIL-00032,Fabric-Wrapped Headband Accessory,,441.0,1,1,simple,
GIL-00033,Metallic Decorative Hair Clip,,437.29,1,1,simple,
GIL-00034,Oversized Cashmere Blend Shawl Scarf,,489.91,1,1,simple,
GIL-00035,Longline Insulated Winter Parka Coat,,208.02,1,1,simple,
GIL-00036,Waterproof Hooded Rain Jacket,,326.58,1,1,simple,
GIL-00037,High-Waisted Genuine Leather Skirt,,494.49,1,1,simple,
GIL-00038,Professional Black Pencil Skirt,,447.32,1,1,simple,
GIL-00039,Flowy Floral Print Maxi Dress,,144.87,1,1,simple,
GIL-00040,Elegant Satin Cocktail Party Dress,,135.78,1,1,simple,
GIL-00041,Floor-Length Sequin Evening Gown,,94.5,1,1,simple,
GIL-00042,Classic Blue Denim Button-Up Jacket,,276.26,1,1,simple,
GIL-00043,Slim-Fit Faux Leather Trousers,,248.05,1,1,simple,
GIL-00044,High-Stretch Black Workout Leggings,,108.78,1,1,simple,
GIL-00045,Tapered Cotton Jogger Sweatpants,,123.43,1,1,simple,
GIL-00046,Utility Cargo Shorts with Pockets,,214.5,1,1,simple,
GIL-00047,Two-Piece Padded Bikini Swim Set,,152.09,1,1,simple,
GIL-00048,One-Piece Shaping Swimsuit,,406.14,1,1,simple,
GIL-00049,High-Rise Yoga Performance Pants,,318.91,1,1,simple,
GIL-00050,Moisture-Wicking Sports Bra,,125.06,1,1,simple,
GIL-00051,Windproof Lightweight Running Jacket,,471.13,1,1,simple,
GIL-00052,Breathable Mesh Gym Training Shorts,,196.99,1,1,simple,
GIL-00053,Matching Track Jacket and Track Pants Set,,268.5,1,1,simple,
GIL-00054,All-White Lifestyle Casual Sneakers,,336.0,1,1,simple,
GIL-00055,Comfort-Foam Rubber Flip-Flops,,154.56,1,1,simple,
GIL-00056,Classic Leather Loafers for Men,,140.3,1,1,simple,
GIL-00057,Soft Ballet Flats with Bow Accent,,429.39,1,1,simple,
GIL-00058,Formal Leather Oxford Dress Shoes,,487.69,1,1,simple,
GIL-00059,Polished Derby Shoes with Round Toe,,153.49,1,1,simple,
GIL-00060,Canvas Espadrilles with Rope Sole,,91.81,1,1,simple,
GIL-00061,Open-Toe Slip-On Mule Sandals,,334.91,1,1,simple,
GIL-00062,Comfort Slide Sandals with Cushioned Footbed,,80.31,1,1,simple,
GIL-00063,Pack of Soft Cotton Crew Socks,,51.12,1,1,simple,
GIL-00064,Opaque Stretch Nylon Stockings,,285.65,1,1,simple,
GIL-00065,High-Elastic Seamless Tights,,219.93,1,1,simple,
GIL-00066,Silk Satin Necktie for Formal Wear,,318.23,1,1,simple,
GIL-00067,Pre-Tied Adjustable Bow Tie,,49.22,1,1,simple,
GIL-00068,Patterned Pocket Square Handkerchief,,280.45,1,1,simple,
GIL-00069,Classic Suspenders with Metal Clips,,152.83,1,1,simple,
GIL-00070,Silver Round Shape Cufflinks,,29.41,1,1,simple,
GIL-00071,Decorative Floral Metal Brooch,,210.86,1,1,simple,
GIL-00072,Vintage-Inspired Hat Lapel Pin,,392.04,1,1,simple,
GIL-00073,Compact Automatic Folding Umbrella,,232.75,1,1,simple,
GIL-00074,Premium Leather Tri-Fold Wallet,,32.44,1,1,simple,
GIL-00075,RFID-Protected Slim Cardholder Wallet,,133.39,1,1,simple,
GIL-00076,Zippered Leather Coin Purse,,290.48,1,1,simple,
GIL-00077,Passport Holder Travel Organizer,,202.42,1,1,simple,
GIL-00078,Waterproof Toiletry Travel Pouch,,253.19,1,1,simple,
GIL-00079,Neoprene Laptop Sleeve Case,,39.92,1,1,simple,
GIL-00080,Structured Hardcase Cosmetic Bag,,135.32,1,1,simple,
GIL-00081,Small Velvet Jewelry Storage Box,,129.01,1,1,simple,
GIL-00082,Ceramic Ring Display Holder,,136.81,1,1,simple,
GIL-00083,Luxury Glass Perfume Bottle,,169.04,1,1,simple,
GIL-00084,Nylon Drawstring Shoe Bag,,437.75,1,1,simple,
GIL-00085,Premium Leather Notebook Journal Cover,,181.99,1,1,simple,
GIL-00086,Soft Satin Hair Scrunchie Set,,35.92,1,1,simple,
GIL-00087,Thermal Fleece Neck Warmer,,412.6,1,1,simple,
GIL-00088,Lightweight Multifunctional Neck Gaiter,,434.72,1,1,simple,
GIL-00089,Moisture-Wicking Glove Liners,,283.41,1,1,simple,
GIL-00090,Insulated Winter Snow Mittens,,41.26,1,1,simple,
GIL-00091,Breathable UV-Protection Summer Gloves,,384.66,1,1,simple,
GIL-00092,Adjustable Waist Fanny Pack,,165.5,1,1,simple,
GIL-00093,Mini Faux-Leather Fashion Backpack,,105.67,1,1,simple,
GIL-00094,Compact Urban Crossbody Pouch,,337.07,1,1,simple,
